"FolderPath","FolderType","ItemsInFolder","FolderSize"
"/Top of Information Store","Root","1","1.027 KB (1,052 bytes)"
"/_Moving","User Created","1","7.622 KB (7,805 bytes)"
"/_Moving/Admin","User Created","0","0 B (0 bytes)"
"/_Moving/Admin/Bills","User Created","0","0 B (0 bytes)"
"/_Moving/Admin/CLE- Lic","User Created","0","0 B (0 bytes)"
"/_Moving/Admin/comp","User Created","0","0 B (0 bytes)"
"/_Moving/Admin/CPG","User Created","0","0 B (0 bytes)"
"/_Moving/Admin/Experts","User Created","0","0 B (0 bytes)"
"/_Moving/Admin/Insurance?FSA etc","User Created","0","0 B (0 bytes)"
"/_Moving/Admin/Insurance?FSA etc/Claim","User Created","0","0 B (0 bytes)"
"/_Moving/Admin/Log In","User Created","0","0 B (0 bytes)"
"/_Moving/Admin/LPG","User Created","0","0 B (0 bytes)"
"/_Moving/Admin/Montly reports","User Created","0","0 B (0 bytes)"
"/_Moving/Admin/Non compete","User Created","0","0 B (0 bytes)"
"/_Moving/Admin/Partner Material","User Created","0","0 B (0 bytes)"
"/_Moving/Admin/Partner Material/Ownership","User Created","0","0 B (0 bytes)"
"/_Moving/Admin/Research - forms","User Created","0","0 B (0 bytes)"
"/_Moving/Admin/Retirement Plan","User Created","0","0 B (0 bytes)"
"/_Moving/Admin/RH","User Created","0","0 B (0 bytes)"
"/_Moving/Admin/Risk Mang","User Created","0","0 B (0 bytes)"
"/_Moving/Admin/Summit","User Created","0","0 B (0 bytes)"
"/_Moving/Admin/Transition","User Created","0","0 B (0 bytes)"
"/_Moving/Admin/Transition/LH- WBM","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/ALSCO - Atkins","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/ALSCO - Atkins/Client Comm","User Created","0","0 B (0 bytes)"
"/_Moving/ALSCO/ALSCO - Atkins/Docs","User Created","0","0 B (0 bytes)"
